Model,Locus class,ECL_0.5,ECL_0.8,ECL_0.9,ECL_0.95,ECL_0.99,CI_0.5,CI_0.8,CI_0.9,CI_0.95,CI_0.99
Enformer,Promoter,216,379,439,470,494,"[215, 217]","[378, 380]","[439, 440]","[470, 470]","[494, 494]"
Enformer,Enhancer,222,383,441,471,495,"[222, 223]","[382, 384]","[441, 442]","[470, 471]","[494, 495]"
Enformer,Intronic,194,366,432,466,493,"[193, 196]","[365, 367]","[431, 432]","[465, 466]","[493, 494]"
Borzoi,Promoter,224,384,442,471,494,"[223, 225]","[383, 385]","[441, 442]","[471, 471]","[494, 495]"
Borzoi,Enhancer,229,387,443,472,495,"[228, 230]","[386, 388]","[443, 444]","[471, 472]","[495, 495]"
Borzoi,Intronic,207,373,436,468,494,"[206, 208]","[372, 374]","[435, 437]","[467, 468]","[494, 494]"
HyenaDNA,Promoter,204,372,435,467,494,"[203, 205]","[371, 372]","[434, 435]","[467, 468]","[494, 494]"
HyenaDNA,Enhancer,212,377,438,469,494,"[211, 213]","[376, 377]","[437, 438]","[469, 469]","[494, 494]"
HyenaDNA,Intronic,175,353,425,463,493,"[173, 176]","[351, 354]","[424, 426]","[462, 463]","[493, 493]"
Caduceus,Promoter,164,345,421,460,492,"[162, 166]","[344, 347]","[420, 422]","[460, 461]","[492, 493]"
Caduceus,Enhancer,178,355,426,463,493,"[176, 180]","[353, 356]","[425, 427]","[462, 464]","[493, 493]"
Caduceus,Intronic,123,313,404,452,491,"[120, 125]","[310, 315]","[402, 405]","[451, 453]","[490, 491]"
DNABERT-2,Promoter,80,264,379,440,488,"[78, 82]","[258, 269]","[374, 382]","[438, 442]","[488, 489]"
DNABERT-2,Enhancer,93,281,388,444,489,"[90, 96]","[276, 286]","[384, 391]","[442, 445]","[489, 490]"
DNABERT-2,Intronic,50,205,349,425,486,"[49, 52]","[196, 216]","[343, 354]","[422, 428]","[485, 486]"
Evo 2 (7B),Promoter,227,386,443,471,495,"[226, 228]","[385, 387]","[442, 443]","[471, 472]","[494, 495]"
Evo 2 (7B),Enhancer,231,388,444,472,495,"[230, 232]","[388, 389]","[443, 444]","[472, 472]","[495, 495]"
Evo 2 (7B),Intronic,212,376,437,469,494,"[210, 213]","[375, 377]","[437, 438]","[468, 469]","[494, 494]"
NT-v2,Promoter,126,315,405,452,491,"[124, 128]","[312, 317]","[402, 406]","[451, 454]","[491, 491]"
NT-v2,Enhancer,142,329,412,456,492,"[139, 144]","[327, 331]","[410, 413]","[455, 457]","[491, 492]"
NT-v2,Intronic,84,270,382,441,489,"[83, 86]","[266, 274]","[379, 384]","[439, 443]","[488, 489]"
NT-v3,Promoter,138,327,411,456,491,"[136, 140]","[324, 329]","[409, 412]","[455, 457]","[491, 492]"
NT-v3,Enhancer,155,339,417,459,492,"[153, 157]","[337, 341]","[416, 419]","[458, 460]","[492, 492]"
NT-v3,Intronic,96,285,389,445,489,"[94, 98]","[282, 289]","[387, 392]","[443, 446]","[489, 490]"
